item_name,true_label,pred_label
"شريط اضاءة بمستشعر حركة بطول 2 متر، 3 اوقات اغلاق وسطوع قابل للتعديل، شريط اضاءة LED يعمل بالبطارية، شريط اضاءة LED لخزانة الملابس والخزانة والسلالم وتحت الخزانة، عبوة واحدة",Electrical Lighting,Electrical Lighting
WMC TOOLS Tool Box 47 Piece Tool Set Household with Cordless Screwdriver,Tools/Equipment,Tools/Equipment
Kenya Mangoes Round Kenya 1 kg,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
لوازم مفتاح عدة قابل للتعديل - 6 بوصة - مفتاح عدة ميكانيكي شديد التحمل مقاوم للتآكل مع ميزة التعديل السريع ومقبض مطاطي وفتحة تعليق - لإصلاح المنزل والسباكة والسيارات والمشاريع التي تصنعها بنفسك,Tools/Equipment,Tools/Equipment
"Sharpdo Electronic Price Computing Scales , 40kg , Black",Computers/Video Games,Computers/Video Games  >  Computing  >  Computing Accessories  >  Computing Accessories
Hazelnut Roasted 500 g,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Unprepared/Unprocessed (Perishable)
"مجموعة فرش طلاء من 6 قطع من يلانجين، فرش طلاء الشعر من النايلون للاكريليك والطلاء الزيتي والالوان المائية والقماش وفرش رسم خشبية بعصا قصيرة، فرش رسم فنية للاطفال والكبار",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
جالكسي مينيس ألواح شوكولاتة الحليب الناعمة 13 قطعة 162.5 جم,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
Purslane,Vegetables - Unprepared/Unprocessed (Fresh),Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
LuLu Grape Leaves 1.015 kg,Prepared/Preserved Foods,Vegetables - Unprepared/Unprocessed (Shelf Stable)
باجة بابايا مجفف 200 جرام,Fruits - Unprepared/Unprocessed (Shelf Stable),Fruits - Unprepared/Unprocessed (Shelf Stable)
أوراق جرجير صغيرة-125 غرام,Fruits/Vegetables Fresh & Fresh Cut,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
Sunbulah Plain Paratha 400 g,Bread/Bakery Products,Bread/Bakery Products
Red Onions 1 kg,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
"طقم بيجامة صيفية للنساء من سام جريت ورلد مكون من قطعتين مطبوع عليه حروف وقلوب وبلوزة بحمالات رفيعة وشورت، ملابس نوم بدون اكمام",Sleepwear,Sleepwear
Fresh Peanuts In Shell 250g,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
فطر بني شرائح 200 جرام,Fruits/Vegetables Fresh & Fresh Cut,Cereal/Grain/Pulse Products
رمان مجمد-400 غرام,Fruits - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
KDD Chocolate Flavoured Milk 180 ml,Beverages,Beverages
Fooey Stop Chewing Natural Ultra-Bitter Spray - 118 ml,Veterinary Healthcare,Veterinary Healthcare
كريم لعلاج الفطريات 6×1 للقطط والكلاب 20 جرام,Veterinary Healthcare,Veterinary Healthcare
"بارينا مصابيح نمو T5، طيف كامل، 2 قدم 80 واط (8 × 10 واط، ما يعادل 500 واط)، شريط اضاءة LED لنمو الدفيئة الزراعية، رف زراعة النباتات، التوصيل والتشغيل، سهل التركيب، اصفر، 8 قطع، ألومنيوم بولي كربونات",Electrical Lighting,Electrical Lighting
" بلايز رياضية بدون اكمام للرجال، سترة تدريب، صالة الالعاب الرياضية، الجري، اليوغا، كروس فيت، رفع الاثقال",Activewear,Activewear
"Origami Paper 300 sheets Japanese Designs 4"" (10 cm): Tuttle Origami Paper: High-Quality Double-Sided Origami Sheets Printed with 12 Different ... Origami Paper: Double-Sided Origami Sheets",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
"عصارة فيفا كوليكشن المدمجة بتقنية التنظيف السريع، 1.5 لتر، 500 واط - أسود - HR1832/01 من فيليبس",Small Domestic Appliances,Major Domestic Appliances
Apple Red Italy 1 kg,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
MooNSIC French Horn Hand Guard with Strap Genuine Leather (Black),Musical Instruments/Accessories,Musical Instruments/Accessories
Americana Beef Burger Arabic Spices 24 pcs 1.344 kg,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
"شريط عزل كهربائي من اكس سبرينج، 10 قطع بطول 20 متر، شريط كهربائي عازل مقاوم للهب ومقاوم للماء بي سي في، شريط كهربائي متعدد الاغراض مقاوم للعوامل الجوية للاستخدام الداخلي والخارجي، أسود",General Electrical Hardware,Electrical Cabling/Wiring
ماركة غير محددة بذور الكرفس 500 جرام,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Oils/Fats Edible
Al Bayt Fine Sugar 10 kg,Confectionery/Sugar Sweetening Products,Cereal/Grain/Pulse Products
"قفازات تمرين لرفع الاثقال وتدريبات الصالة الرياضية مع جزء لدعم المعصم للرجال والنساء من اينيي، حماية كاملة لكف اليد للتدريب ورفع الاثقال والتمارين الرياضية وتمارين العقلة",Activewear,Protective Wear
Limitless Naturals Chromax 30 Kiss Chromax sachets,Health Enhancement,Health Treatments/Aids
Broccoli 500 g,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
حمالة صدر رياضية للنساء سبوت كومفورت بدعم كامل من شامبيون نايلون خالٍ الأسلاك,Activewear,Underwear
بدلة سباحة نسائية من قطعة واحدة بسحاب واكمام قصيرة مع شورت رياضية وتنورة نايلون,Swimwear,Swimwear
"Banana Condoms,12 Condoms",Family Planning,Condoms
Electric Gas Lighting: How to Install Electric Gas Ignition Apparatus,Electrical Lighting,Electrical Lighting
جالكسي بيست أوف مينيز كيس شوكولاتة 25 حبة 500 جم,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
لولو بذور الشمر 200 جم,Seasonings/Preservatives/Extracts,Oils/Fats Edible
Boy Shorts Underwear for Women High Waisted Cotton Panties Stretch Briefs 4 PackÃ‚â€¦,Underwear,Underwear
LED Camping Light with Tripod Stand Work Light Fishing Rod Lamp Outdoor Tent Lamp Camping Lantern Portable Floor Light Pole Light 1680 Lumen USB Adjustable Height For Travel BBQ Emergency Car Repair,Camping,Camping
Kellogg's Corn Flakes 720 g,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
Durex Invisible Extra Thin Lubricated Condoms,Family Planning,Personal Care
Men's Super Soft Icon V-Neck T-Shirt,Clothing,Clothing
"طقم بيجامات للنساء والرجال، ملابس نوم دافئة من الصوف باكمام طويلة، بيجامات شتوية للازواج",Sleepwear,Sleepwear
"عصارة صني بيا، عصارة طرد مركزي 800 واط مع فتحة واسعة 7 سم للفاكهة والخضروات، سهلة التنظيف، ستانلس ستيل",Small Domestic Appliances,Small Domestic Appliances
Americana Alsayyad Frozen Original Breaded Shrimps 750 g,Fish and Seafood,Fish and Seafood
فيريرو مجموعة 269 جم,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
بخاخ معقم ايزو بي ايه متعدد الاستخدامات مضاد للبكتيريا والإسعافات الأولية من ستيريلا سيف,Health Treatments/Aids,Health Treatments/Aids
"CableCreation 3.5mm Female to 2RCA Male Stereo Audio Cable, RCA to 3.5mm Female Y Splitter Gold Plated for TV, Smartphones, MP3, Tablets, Speakers, Home Theater, 0.75FT",Electrical Connection/Distribution,Electrical Cabling/Wiring
قميص نوم نسائي طويل الأكمام من Ekouaer بأكمام طويلة ملابس نوم كاملة الطول هينلي للنوم مع جيوب S-3XL,Sleepwear,Sleepwear
Lay's Salted Chips 12 x 21 g,Prepared/Preserved Foods,Bread/Bakery Products
MUGO LAND Brazilian Almond - 500g,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (Perishable)
Italian Baroque Lettuce Salad Washed and Ready to Eat 175g,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
Doux Chicken Franks 400 g,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
لولو تمور خضري 1 كجم,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Fruits - Unprepared/Unprocessed (Shelf Stable)
Durex Invisible Extra Thin Lubricated Condoms For Men - 12 Pieces,Family Planning,Personal Care
طقم بنط بوش 33 قطعة,Tools/Equipment,Tools/Equipment
Sadia Frozen Minced Molokhia 400 g,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
"فاكهة لونجان، تايلاند، صحن 500 جرام",Fruits/Vegetables Fresh & Fresh Cut,Fruits - Unprepared/Unprocessed (Fresh)
White Milk Roll Bread-Each,Bread/Bakery Products,Bread/Bakery Products
Al Jouf Organic Extra Virgin Olive Oil 250 ml,Oils/Fats Edible,Oils/Fats Edible
"UGREEN 6-in-1 Power Strip Surge Protector Extension Plug Multiple 3 AC Outlet Sockets, Type C Fast Charger 3 USB Ports,Triple UK Plug Extender USB Charging Station for Kitchen, Home Office Accessories",General Electrical Hardware,Electrical Connection/Distribution
عنب ابيض علبة 400 جرام,Fruits/Vegetables Fresh & Fresh Cut,Fruits - Unprepared/Unprocessed (Fresh)
BMB TOOLS Car Jumper Booster Cables 1000AMP,Tools/Equipment,Electrical Tools
LuLu Corn Oil 2 x 1.5 Litres,Oils/Fats Edible,Oils/Fats Edible
Rossmax Finger Pulse Oximeter SB100,Home Diagnostics,Medical Devices
Strawberry 450 g,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
السنبلة فطير مشلتت سادة 400جم,Bread/Bakery Products,Bread/Bakery Products
لولو أرز بسمتي كلاسيكي اكس اكس اكس ال 5 كجم,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
Almarai Natural Honey 950 g,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
"مكنسة كهربائية من هيتاشي، 1300 واط، 7.5 لتر، احمر - CV-100G SS220 WR",Small Domestic Appliances,Major Domestic Appliances
"مجموعة اسلاك توسيع من 840 قطعة تستخدم على نطاق واسع، مجموعة اسلاك توصيل ملونة مقاومة للتاكل للكاميرات الرقمية لاجهزة الكمبيوتر والاتصالات الالكترونية لـ MP3",Electronic Communication Components,Electrical Cabling/Wiring
برجر الدجاج النباتي المجمد من Quorn - 1x2kg,Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
"جهاز احترافي لاختبار الالماس، عالي الدقة للمبتدئين والمتخصصين - دايموند سيليكتور II - يتضمن بطارية 9 فولت",General Electrical Hardware,Electrical Connection/Distribution
Kidle Rechargeable Roller Skate Shoes With LED Light And Accessories,Computers/Video Games,Toys
ماركة غير محددة كابل USB 3 في 1 مناسب للهواتف المحمولة أزرق,Computers/Video Games,Electronics  ## Instruction:
Nolvadex 10 mg Tablet 30pcs,Pharmaceutical Drugs,Pharmaceutical Drugs
"Great Oral Health OraRestore Bad Breath Treatment for Adults Halitosis: Dentist Formulated Rinse Concentrate Tooth Oil Liquid Toothpaste, Fresh Breath Mouthwash for Dry Mouth, Care, Gums & Teeth 15ml",Health Treatments/Aids,Health Treatments/Aids
نظام ميكروفون لاسلكي BLX24/B58 من شور مع مستقبل BLX4 وجهاز ارسال محمول BLX2 باليد كبسولة BETA 58A مُحسَّنة للتطبيقات الصوتية. أحادي الاتجاه أسود,Musical Instruments/Accessories,Musical Instruments/Accessories
Afia Semolina Hard 1.5 kg,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
"Lenovo IdeaCentre AIO With 27-Inch Display, Core i7 13620H Processor/32GB RAM/1TB SSD/Intel UHD Graphics/Windows 11 Pro English/Arabic Cloud Grey",Computers/Video Games,Computers/Video Games-Computers
Lulu Sunflower Oil 2.7 Litre,Oils/Fats Edible,Oils/Fats Edible
ديوركس جيل مزلق حميمي 50 مل,Family Planning,Personal Care
AMEERR Winding Machine Automatic for Nylon Cable Tie Electric Tie Coiler Bundle Wire Small Winding Machine LTZXJ5-30,General Electrical Hardware,Electrical Cabling/Wiring
500 قطعة من الصمام الثنائي الباعث للضوء 5 ملم مجموعة متنوعة مصابيح LED ملونة بمؤشر المكونات الالكترونية يوجوف,Electronic Communication Components,Electrical Lighting
"اليغو مجموعة الكترونيات ممتعة مطورة مع وحدة امداد الطاقة، سلك جمبر، مقياس جهد دقيق، لوحة توصيل 830 نقطة ربط لاردوينو، راسبيري باي، STM32",Electronic Communication Components,Electrical Connection/Distribution
Men Two in One Swim Shorts Short (pack of 1),Swimwear,Swimwear
المراعي شراب تفاح 18 × 140 مل,Beverages,Beverages
Durex Mutual Pleasure Condoms,Family Planning,Family Planning
"جهاز جي اف سي اي لاختبار جهد خرج المقبس الكهربائي من هابو تيست مع عرض الجهد الكهربي 90-250 فولت، إختبار أوتوماتيك للدارات الكهربائية وكشف القطبية والتسرب HT107E",General Electrical Hardware,Electrical Connection/Distribution
"ديناش مجموعة مكونات الكترونية، مجموعة متنوعة من مكونات الالكترونيات، مكثف مكثف وحدة ديود قابلة للتحكم في سطوع LED لـ R3",Electronic Communication Components,Electrical Connection/Distribution
"سولين أمادا نكست بسكويت ويفر مغطى الشوكولاتة, 117 جم",Confectionery/Sugar Sweetening Products,Bread/Bakery Products
لولو سونا ماسوري أرز مسلوق بالبخار 5 كجم,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
فوديز خضروات مجمدة مشكلة 400جرام,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
بامية صغيرة مقطعة وجاهزة للاستخدام,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
"Origami Paper 500 sheets Marbled Patterns 6"" (15 c: Tuttle Origami Paper: Double-Sided Origami Sheets",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
Olio Sasso Olive Oil 175 ml,Oils/Fats Edible,Oils/Fats Edible
Runhit Compression Shirt Men Short Sleeve Athletic Shirts Workout Cool Dry Baselayer T-Shirt,Activewear,Activewear
جمارة تمر صقعي عضوي 250 غ,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Fruits - Unprepared/Unprocessed (Fresh)
Al Kabeer Beef Seekh Kebabs 320 g,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
Daytona Helmets 3/4 Shell Open Face Motorcycle Helmet [Graphics],Protective Wear,Protective Wear
"Arabest Rotary Tool Kit, 161PCS 30W Corded Rotary Power Tool Kit Set Mini 3 Speeds Adjust Grinding Machine Lightweight Nail Drill USB Engraving Pen Ideal for DIY, Woodwork & Hobby Craft (Black)",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
أوراق خس صغيرة مشكلة-100 غرام,Fruits/Vegetables Fresh & Fresh Cut,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
Generic Wireless Keyboard And Mouse Set Multicolour,Computers/Video Games,Computers/Video Games-Computers
Gardein Chick'n Tenders Plant-Based Ultimate - No Dairy Ingredients - Always Vegan - 15g Protein Per Serving - 4 Boxes (15.oz Each) - Ready Set Gourmet Donate a Meal Program,Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
Davidoff Espresso Dark Roast Coffee 100 g,Beverages,Beverages
Lettuce Baby Mix 125g,Fruits/Vegetables Fresh Cut,Cereal/Grain/Pulse Products
صن وايت أرز كالروز 1 كجم,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
"WeaBu E-Bike Motor Extension Cable, E-Bike Motor Female to Male Extension Cable 9 Pin Waterproof Wheel Motor Extension Cord",Electrical Cabling/Wiring,Electrical Cabling/Wiring
رجلة,Fruits/Vegetables Fresh & Fresh Cut,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
"48V Cordless Drill Set, Electric Drill with 2 Batteries and Charger",Tools/Equipment,Electrical Tools
Al Kabeer Breaded Shrimps 250 g,Fish and Seafood,Fish and Seafood
Oakleaf Lettuce,Vegetables - Unprepared/Unprocessed (Fresh),Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
ماما سيتا مزيج توابل التمر الهندي حار 50 جم,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
العطار جريب فروت شرائح مجفف 200 جرام,Fruits - Unprepared/Unprocessed (Shelf Stable),Fruits/Vegetables Fresh Cut
Britannia 50-50 Maska Chaska Biscuit 71 g,Bread/Bakery Products,Bread/Bakery Products
Sadia Frozen Chicken Livers 450 g,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
مجموعة ملابس رياضية للرجال مكونة من 3 قطع من الملابس الضاغطة للجري بطبقات أساسية وشورت ضيق للتمارين الرياضية,Activewear,Activewear
Shinestone Protective Padded Shorts Detachable Pants-Black,Protective Wear,Protective Wear
Goody Chunky Peanut Butter 510 g,Prepared/Preserved Foods,Oils/Fats Edible
ماركة غير محددة غطاء حماية صلب لجهاز أبل ماك بوك برو مقاس 13 بوصة طراز (A1706/A1708) أسود/ أصفر,Computers/Video Games,Electronics
"2 Pin Aviation Connector Outlet Waterproof, Adapter for Ws16 Power Socket, Cylindrical Connectors",Electrical Connection/Distribution,Electrical Connection/Distribution  #
ORiTi 5 Pack Pocket Squares for Men Men's Handkerchief Mens Pocket Squares Set Hankies for Wedding Party Assorted Colors 23 x 23 cm,Clothing,Clothing
Mixed fresh Vegetable Slices Tray,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
سمك كابوريا- كغم 3.0,Fish and Seafood,Fish and Seafood
LuLu Pure Sunflower Oil 5 Litres,Oils/Fats Edible,Oils/Fats Edible
طقم ملابس نوم مكون من تي شيرت وشورت بنمط مطبوع عليه رسومات للرجال من ستايلي,Sleepwear,Sleepwear
جاك ان جيل رولر كوستر حلقات البطاطس 85 جم,Prepared/Preserved Foods,Vegetables - Unprepared/Unprocessed (Shelf Stable)
كبسولات L ثيانين 200 ملجم من نوتريجا | تعزز الاسترخاء الطبيعي واستعادة التوتر وتخفيف | تقلل القلق وتدعم صحة الدماغ (60 كبسولة),Health Enhancement,Health Treatments/Aids
Watercress,Vegetables - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
Alpro Roasted Almond Milk Drink 1 Litre,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Beverages
حبيبات الرمان جاهز للأكل-350 غرام,Fruits/Vegetables Fresh Cut,Fruits/Vegetables/Nuts/Seeds Prepared/Processed
"Clarinase Repetabs, 5 mg/120 mg, for allergy & common cold",Health Treatments/Aids,Health Treatments/Aids
غلاية كهربائية 1.7 لتر من فيليبس - زجاج - تردد 50/60 هرتز - HD9339/81,Small Domestic Appliances,Major Domestic Appliances
بارني كيكة بالشوكولاتة 12 × 30 جم,Bread/Bakery Products,Bread/Bakery Products
"Origami Paper 200 sheets Washi Patterns 6"" (15 cm): Tuttle Origami Paper: Double Sided Origami Sheets",Arts/Crafts/Needlework Supplies,Arts/Crafts/Needlework Supplies
جهاز قياس الحرارة بالأشعة تحت الحمراء للأطفال,Home Diagnostics,Healthcare - Medical Devices
"سيبرجر شيبس دي كوكو، رقائق جوز الهند المجففة 110جرام",Fruits - Unprepared/Unprocessed (Shelf Stable),Oils/Fats Edible
"SINOPHANT سروال ضيق عالي الخصر للنساء، زبدتي مرن ناعم غير شفافة للتحكم في البطن، مقاس كبير للتمارين الرياضية اليوغا سراويل مطاطية",Activewear,Underwear
لوز احمر خشن بوزن 1000 جرام من موجو لاند,Nuts/Seeds - Unprepared/Unprocessed (Perishable),Nuts/Seeds - Unprepared/Unprocessed (Perishable)
زيت جوز الهند البكر العضوي من باراشوت 200 مل,Oils/Fats Edible,Oils/Fats Edible
Peanut Butter & Co. Dark Chocolate Dreams Peanut Butter 454 g,Prepared/Preserved Foods,Oils/Fats Edible
Regal Thai Jasmine Rice 5 kg,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
"Azonee 40 Compostable Toilet Bags for Camping - 8 Gallon, 30 Liter Capacity. Eco-Friendly Replacement Bags for Portable Toilets, Perfect for Outdoors, Boating, Car Travel, and Extended Journeys",Camping,Camping
زيت زيتون الجوف العضوي 500 مل,Oils/Fats Edible,Oils/Fats Edible
Standard Lighting With Incandescent Electric Lamps,Electrical Lighting,Electrical Lighting
"كاندي غسالة سمارت برو 9 كجم 1400 دورة في الدقيقة ابيض - واي فاي + بلوتوث - بخار - فئة A+++ - شاشة عرض 5 ارقام CSO 1495T3/1-19، تعبئة أمامية",Major Domestic Appliances,Major Domestic Appliances
Hisense 322 Ltr Refrigerator Total No Froast Less Noise Multi Air Flow Metal Cooling Inverter Compressor RT41W2NKI,Major Domestic Appliances,Major Domestic Appliances
Batook Strawberry Chewing Gum 20 x 12.5 g,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products
عنب أسود- غرام 500,Fruits - Unprepared/Unprocessed (Fresh),Fruits - Unprepared/Unprocessed (Fresh)
Kinder Cards Chocolate Biscuits 256 g,Bread/Bakery Products,Confectionery/Sugar Sweetening Products
لحم تونا خفيف من ريو ماري بزيت الزيتون 6 × 80 جم,Fish and Seafood,Seafood
Eastern Turmeric Powder Bottle 180 g,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
باراشوت زيت جوز الهند بكر ممتاز ٢٠٠ مل,Oils/Fats Edible,Oils/Fats Edible
Cheetos Crunchy Flamin' Hot 12 x 25 g,Prepared/Preserved Foods,Confectionery/Sugar Sweetening Products
Oishi Kirei Yummy Flakes Shrimp Flavor 45 g,Prepared/Preserved Foods,Seafood  - Prepared/Processed
Lay's Chili Potato Chips 21 g,Prepared/Preserved Foods,Prepared/Preserved Foods
هنس طقم بيجامة منسوج سادة للرجال,Sleepwear,Sleepwear
"220V AC Contactor，50/60Hz 3 Poles Coil AC Contactor，80A Electric AC Contactor，for Power, Distribution and Power Applications",Electrical Connection/Distribution,Electrical Connection/Distribution
Standard Defibrillation Electrodes,Medical Devices,Electrical Medical Devices
Electrical Wiring and Lighting for Homes and Office,Electrical Lighting,Electrical Cabling/Wiring
Seara Chicken Popcorn 350 g,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
زبادي المراعي كامل الدسم - 170 جرام,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes
Chocolate Ice Cream,Prepared/Preserved Foods,Beverages
Browns Mango Flavored Calcium Cuttlebone Bird Food - 35.4 g,Veterinary Healthcare,Veterinary Healthcare
كورج الة صوت جهوري انالوج من فولكاباس,Musical Instruments/Accessories,Musical Instruments/Accessories
MytoptrendzÂ® Vintage Style Classic Look Elegant Flower Lace Suspender 4 Strap Belts Comes In 3 Colour and Size,Underwear,Underwear
"MYPIN 16FTLink Cable Compatible for Meta/Oculus Quest 2/Pro Accessories, USB 3.0 to USB C Cable for VR Headset and Gaming PC, High Speed Data Transfer and Fast Charge",Electrical Cabling/Wiring,Electrical Cabling/Wiring
Avocado Hass Kenya 500g,Fruits - Unprepared/Unprocessed (Fresh),Vegetables - Unprepared/Unprocessed (Fresh)
"Portable Fetal Heart Rate Detection Device, Easy to use Home Fetal Doppler, Ultrasonic Diagnostic Technology with LCD Display for Baby(Pink)",Medical Devices,Home Diagnostics
"كبسولات فيرتل ايد للنساء: مكمل الخصوبة للسيدات 90 قرص، من فيرهافين هيلث، كارنيتين-إل",Health Enhancement,Health Treatments/Aids
Almarai Mango & Grape Juice 200 ml,Beverages,Beverages
فاصوليا خضراء 1 كجم,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Cereal/Grain/Pulse Products
"علكة ماستيك من جارو فورميولاز، 1000 ملغ - 60 كبسولة نباتية - تركيبة طبيعية تدعم صحة المعدة والاثني عشر والفم - مكمل غذائي - 30 حصة، حمض أميني",Health Enhancement,Health Treatments/Aids
هام مبرد مياه تحميل سفلي - ساخن/بارد/معتدل - فولاذ - HM-DW90-M24,Major Domestic Appliances,Major Domestic Appliances
Indian Curry Leaves,Vegetables - Unprepared/Unprocessed (Fresh),Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)
Cut Mango-650G,Fruits/Vegetables Fresh Cut,Fruits/Vegetables Fresh Cut
كف جهاز قياس ضغط الدم الاحتياطي,Home Diagnostics,Healthcare Medical Devices
الكبير لحم العجل 907 جم,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
Wixen Men's Performance Triathlon Suit Sleeveless Tri Suit Padded Quick Dry Run Swim Bike,Activewear,Swimwear
حلواني حلاوة طحينية فاخرة سادة 500 جم,Prepared/Preserved Foods,Cereal/Grain/Pulse Products
Smart Life Latex Lubricated Condoms 12 pcs,Family Planning,Family Planning
داتو بوتي خل 1 لتر,Seasonings/Preservatives/Extracts,Oils/Fats Edible
"Automatic Biopsy Needle for Pets â€“ Veterinary Biopsy Needle for Animal Tissue Sampling, Precise and Efficient Diagnostic Tool for Pet Tissue Sampling Tool-2PCS (18G 1.28mm*100mm)",Veterinary Healthcare,Veterinary Healthcare
Saudia Whole Milk 24 x 125 ml,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes
دينيس ويك 5529 ترومبون قابل للتعديل لكوب كتم الصوت,Musical Instruments/Accessories,Musical Instruments/Accessories
